alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr.1,ForcePiedAr.2,ForcePiedAv,ForcePiedAv.1,ForcePiedAv.2,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider,Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
0.04441637071661139+0i,0.1347642205530519,0.2865622654456507,0.4052916535186022,-6.699975984661433e-05,0.00011343969087501679,912.0575781812273,-63.90464811475727,-254.79564139322719,27.4525834761306,-63.46317478030571,641.3514954773692,66.83192314760403,-254.79564139322719,641.3514954773692,-0.9647041622072178,0.9898321111161584,0.4238283451961328,68.61366409993522,-45.22622634729784,113.83989044723309,-0.09342665437195133,0.061581538792950474,-0.1550081931649018,4.470635476847499,256.14854456481794,-8.095735137511674,-460.1345804536548,-0.001361633365562233,0.07,-1.1193438601249222,1398.4557964361902,-894.7666510308113,2293.222447467001,25.213292961170268,-64.79132639230797
0.03915028863910586+0i,0.1253413401088892,0.286567612954013,0.4052936592017582,-6.926274965110557e-05,9.582379500316927e-05,922.1637737286203,-62.31955599904278,-258.5192308476985,26.6882116632965,-64.5959254451767,647.9648165733944,69.76565928944414,-258.5192308476985,647.9648165733944,-0.9672930372685457,0.9894053868062924,0.4223171597286191,69.12659146631101,-45.88716347546649,115.01375494177748,0.1133695610737185,-0.07525624324565326,0.1886258043193717,4.47045141898518,256.1379988261208,-8.095919195373991,-460.1451261923518,0.001640028224579384,0.07333333333333332,-1.7270994074116215,1467.596852471541,-939.9833570932054,2407.580209564746,25.340124327906288,-65.11287851566307
0.04221867707485383+0i,0.1074799573448217,0.2865656268399693,0.405280978531589,-3.731966256304009e-05,0.00011582987772784659,912.3982524947933,-69.1274856278102,-254.64216172062598,30.751340126234087,-61.014572911778686,640.4883248352146,65.89860100939902,-254.64216172062598,640.4883248352146,-0.9585832584965328,0.9903121655899229,0.4228922644903799,68.48769395283946,-45.198983705411116,113.6866776582506,0.3806616371356673,-0.25122059367362903,0.6318822308092963,4.470505757127517,256.1411121723434,-8.095864857231655,-460.1420128461294,0.005558102706710936,0.07666666666666666,-2.136998812521126,1536.466980254664,-985.5400520045876,2522.007032259252,25.33328697567994,-65.09606971008583
0.04324289492819173+0i,0.07897426752219873,0.2865427463012772,0.4052631213465059,-1.7025934442888018e-05,8.477089695185791e-05,911.5607605855664,-62.222584953193795,-258.5374483326197,26.737953384448662,-61.64686959777894,637.8950583040852,66.42567611964968,-258.5374483326197,637.8950583040852,-0.9673612010421382,0.9900586847845028,0.4161627248278814,67.33597576993512,-45.89039707904,113.22637284897509,0.6827275127038503,-0.4652882251504233,1.1480157378542741,4.470530362467061,256.14252195445283,-8.09584025189211,-460.14060306402,0.01013911961469907,0.08,-2.3482106431430627,1605.2741229642388,-1031.0831255950259,2636.357248559266,25.170048557220287,-64.6858156925215
0.04569059902972307+0i,0.1080397246154519,0.2865652900976122,0.4052334806858817,1.4107479153202542e-06,9.587024531587662e-05,914.1214814043956,-62.23845649731768,-258.648527733141,26.696435727522307,-61.51407119247228,640.4444647934225,65.86049296517649,-258.648527733141,640.4444647934225,-0.9673895177859646,0.9902443499385118,0.4176643310839996,67.76877882819998,-45.91011367263252,113.6788925008325,1.003763979187066,-0.6800021954327453,1.6837661746198112,4.470580160737366,256.1453751851682,-8.095790453621808,-460.1377498333046,0.01481159903636007,0.08333333333333333,-2.519119510753773,1673.185957825626,-1076.627815987252,2749.813773812878,24.81179414780827,-63.795866708189706
0.04920719115967881+0i,0.08404079163028655,0.2865761308115498,0.4052594586867955,-4.633495963857204e-06,9.424044139499932e-05,915.586225658002,-67.50191031792752,-258.4683254181472,30.13964884017643,-61.60881096337053,640.4663841638011,65.5580898184821,-258.4683254181472,640.4663841638011,-0.9614483387802524,0.990278241296568,0.4172169130997186,67.80465542735357,-45.87812776172112,113.68278318907473,1.3190360222603468,-0.8924889120100133,2.21152493427036,4.470720715570387,256.1534283838905,-8.095649898788785,-460.1296966345823,0.019453472832312708,0.08666666666666667,-2.773035021961088,1740.738335124694,-1122.528071363088,2863.266406487782,24.23914893751668,-62.37997575195267
0.04494853587853231+0i,0.08014412113323033,0.286598172125474,0.4052731062541947,2.731274854506083e-06,8.74962583696237e-05,928.408805891928,-69.46711388302839,-266.007091958844,31.885077003051034,-63.34014618590235,644.8411657043572,69.28134335721451,-266.007091958844,644.8411657043572,-0.961109447568993,0.9895697042771427,0.4080466184091877,67.24304808982859,-47.21625882269482,114.4593069125234,1.635190907255802,-1.148187051223006,2.7833779584788085,4.470713492300886,256.1530145210339,-8.095657122058286,-460.13011049743886,0.02431762024040588,0.09,-3.1049053368152784,1808.5250522524695,-1168.422192080265,2976.9472443327363,23.45290338379531,-60.43233019750758
0.04149289232691124+0i,0.08071489858431846,0.2866130506794805,0.4052945240683423,-5.327981164510165e-06,7.85342401287692e-05,919.3987983268756,-65.91955922699232,-259.51971482811797,25.21330513146205,-60.82527007756004,643.9838687490859,68.37250747263326,-259.51971482811797,643.9838687490859,-0.9649534764301524,0.9900536830957148,0.4181690846459846,68.2423873209718,-46.06474938199096,114.30713670296272,1.983327396549386,-1.338779064612346,3.322106461161732,4.470589994090019,256.14593859477367,-8.095780620269155,-460.1371864236991,0.029062983790719213,0.09333333333333334,-3.4158948247004246,1876.048904011061,-1214.969385372473,3091.018289383536,22.432565402178803,-57.934878751133006
0.04086104755253132+0i,0.05505624765569905,0.2866171310339425,0.4052570048986351,1.9185429240425877e-05,9.008851574893173e-05,919.3913176629527,-67.28814390603901,-258.6259466591198,30.20733536931039,-61.28936791547999,643.9733496772095,68.05640861210983,-258.6259466591198,643.9733496772095,-0.9616569908878666,0.9900375111908596,0.4191331760643811,68.39916403571092,-45.90610553199378,114.3052695677047,2.214565239213315,-1.486305673644404,3.7008709128577184,4.471018875216139,256.1705116732132,-8.095351739143034,-460.1126133452596,0.03237708048678927,0.09666666666666666,-3.5705648374627916,1943.791621716462,-1261.6098894748159,3205.401511191278,21.18908234426112,-54.882136541312725
0.04222067164992496+0i,0.01720445951832517,0.2866115213786687,0.4052713907558738,4.090260058031703e-05,0.00010315609116667852,923.0707740262436,-66.37229621216517,-260.76581750068556,35.66074791287298,-63.48654926286575,644.8691025830935,68.88618322679156,-260.76581750068556,644.8691025830935,-0.9607010901869592,0.9896125760575128,0.4161146641086131,68.17833310212741,-46.28593260637169,114.46426570849907,2.269231291372901,-1.5405698825669658,3.809801173939868,4.471013934105254,256.1702285684134,-8.095356680253918,-460.11289645005934,0.033283760222968736,0.1,-3.5151768614043934,2012.1123973948029,-1307.595316931808,3319.707714326612,19.77653997513275,-51.37064785430301
