Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
89754.41692475109,26759.89419416622,62994.52273058485,222997.3139999918,170143.5999852418
89838.40685540838,26745.53559113876,63092.8712642696,222826.33267592642,171310.9092664973
89939.19203304633,26734.23746008112,63204.95457296519,222697.8659349757,172577.2609806877
90057.57085633723,26728.035893872842,63329.53496246438,222630.3923672235,173914.826877421
90190.27847037732,26726.07239283368,63464.206077543604,222609.9957761196,175292.3667828796
90336.90196924693,26726.01014978898,63610.89181945793,222609.2304835195,176722.5090773873
90500.65757001829,26728.676313450058,63771.9812565682,222633.66129028762,178222.99494250922
90677.04737107886,26734.13171221501,63942.91565886383,222682.35679028448,179752.10737551178
90856.08952546297,26741.1321344354,64114.95739102755,222743.14110865642,181247.8938614034
91038.48932160572,26751.355664105467,64287.133657500235,222831.0741678195,182728.86494621288
91231.09433948355,26764.679824932082,64466.41451455146,222946.085539525,184276.2481846893
91433.70471960172,26778.82347081212,64654.88124878957,223068.2647083675,185904.2536075268
91642.52139143973,26794.135360418833,64848.38603102086,223198.46719707327,187550.9971830741
91856.08016821394,26812.02370903584,65044.056459178086,223345.81183462788,189165.100806778
92078.05154384176,26832.804734756002,65245.24680908575,223510.9190676696,190764.8493077125
92308.06781504133,26855.705789945932,65452.36202509541,223688.18900287373,192368.42000843122
92542.6631265824,26879.98129992581,65662.68182665657,223875.25741726538,193989.0337661354
92782.57794494514,26905.506977094417,65877.07096785073,224075.614076512,195671.5229439123
93029.45622403963,26932.345730804456,66097.11049323516,224293.01485443942,197453.5442779727
93282.55455703416,26959.68192918204,66322.87262785214,224521.8449601772,199343.94897687391
93540.1637872907,26985.96143217474,66554.20235511598,224747.97913199672,201335.62126696712
93800.8024818806,27010.40187920224,66790.40060267836,224962.4919800042,203409.49605306808
94061.98562576476,27032.0842451598,67029.90138060498,225155.6050187293,205543.94823985692
94323.42366372807,27050.43404268618,67272.98962104191,225321.9712995917,207750.11490115558
94587.39142885573,27065.620797358617,67521.77063149713,225463.2983606679,210069.7337368783
94855.34234272565,27077.843749093456,67777.49859363219,225580.8847638292,212535.12800814628
95127.42203034653,27086.77299836849,68040.64903197804,225669.37058499968,215151.07422664762
95404.79348454012,27092.64426282139,68312.14922171875,225728.74991080142,217899.71688323191
95689.00922811619,27096.302381510533,68592.70684660568,225765.8813837507,220744.33649609852
