alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr,ForcePiedAr,ForcePiedAv,ForcePiedAv,ForcePiedAv,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
0.01310654219801538+0i,-0.5163794410175626,,,,,843.3532223706118,-36.449005987569116,-353.32620630144334,42.34902060979639,-78.28374932722774,478.8148093451341,21.229095333147338,-353.32620630144334,478.8148093451341,-0.9877257974340656,0.9859534455913682,0.1487972058622725,22.274227040255123,-62.715401618506185,84.9896286587613,-0.1603589363522009,0.4515072544725916,-0.6118661908247924,4.455674726736394,255.29135672510182,-8.110695887622779,-460.99176829337097,-0.007199304203121931,15.93666666666667,-1.620359820808781
0.01923545811674303+0i,-0.4949138367188937,,,,,835.4033860701637,-33.34993202695701,-346.7177109087402,35.648124998005926,-78.46598997876025,478.4182999702937,21.02677020529294,-346.7177109087402,478.4182999702937,-0.9902333788366344,0.9858887374836844,0.1576490965413589,23.376854558425716,-61.542393686301395,84.9192482447271,-0.1896529727135546,0.4992843618607415,-0.6889373345742961,4.4555278140635215,255.28293924898918,-8.11084280029565,-461.00018576948366,-0.008112852490036902,15.94,-2.745064727122069
0.01228366307017088+0i,-0.5322986948788753,,,,,838.2570480367633,-33.42632275877125,-346.70963562163877,35.655116797029116,-77.0474311756482,481.746226605981,15.65524287790629,-346.70963562163877,481.746226605981,-0.9902103156397456,0.9869428507787164,0.1610921033119902,23.96899489972074,-61.54096032284088,85.50995522256163,-0.1995264098676884,0.5122887682357243,-0.7118151781034127,4.455550224354173,255.2842232640612,-8.110820390005,-460.99890175441163,-0.008324354471368051,15.94333333333333,-3.443447621676276
0.01785114356118917+0i,-0.5583542082388249,,,,,835.7355227394827,-33.444356439842316,-346.7091683743512,35.64274719158818,-82.9806380052567,478.1784654100178,16.28296412998475,-346.7091683743512,478.1784654100178,-0.9902089811712548,0.9847205197740184,0.1573096912342789,23.33580022383083,-61.54087738644733,84.8766776102782,-0.1679346743485617,0.4428752005026044,-0.6108098748511662,4.455558926096929,255.28472183719552,-8.110811688262244,-460.9984031812773,-0.007196439493729664,15.946666666666669,-3.6064994216407698
0.02223269980327568+0i,-0.5485067995090844,,,,,845.803995373929,-34.38384336318594,-356.697456501243,36.509243727939456,-83.02730762709648,478.1741560022865,16.17123081877072,-356.697456501243,478.1741560022865,-0.9902600522406572,0.9847116453421312,0.1436227544034464,21.562114161435215,-63.31379852897063,84.87591269040584,-0.09181877696470518,0.2696115743750835,-0.3614303513397888,4.455415254402224,255.27649005545342,-8.110955359956948,-461.00663496301934,-0.004258338318648135,15.95,-3.2970256254995634
0.01872561884335366+0i,-0.5821159109557357,,,,,833.2118987103436,-36.83184802345029,-350.5628261682232,38.30137505810246,-78.94664304341237,471.82331342828184,15.84197831961993,-350.5628261682232,471.82331342828184,-0.9887063987907916,0.9857484717285936,0.1455337921214847,21.523736488660422,-62.22490164485961,83.74863813352005,0.01102722169613852,-0.0318795849326525,0.04290680662879103,4.455436182839388,255.27768916657467,-8.110934431519784,-461.00543585189814,0.0005123284101693083,15.95333333333333,-2.694368424493347
0.02313133614646697+0i,-0.5885840017661508,,,,,832.3928435682881,-35.3425695577981,-343.05818607446133,36.44916049853189,-83.84791832280482,478.0331152252766,16.10693414176541,-343.05818607446133,478.0331152252766,-0.9892256000167544,0.9844211978266256,0.1621529187735528,23.95804992426971,-60.89282802821689,84.85087795248658,0.1647777593066977,-0.418806363291419,0.5835841225981168,4.455566779030899,255.2851717771688,-8.110803835328273,-460.997953241304,0.0068777617472019865,15.95666666666667,-2.040400193442761
0.02323110642715456+0i,-0.55941964505854,,,,,840.1653191300661,-36.994535579890794,-350.5557216086298,38.209499288748596,-84.02843896775877,477.9950162984737,16.29576095065952,-350.5557216086298,477.9950162984737,-0.9886863615164252,0.9843427401006549,0.1516835934406322,22.6204748074473,-62.223640585531776,84.84411539297909,0.3364904958021661,-0.9256067279519749,1.2620972237541408,4.455456397433954,255.2788473775279,-8.110914216925218,-461.0042776409449,0.014875483325017732,15.96,-1.560021297808041
0.01719599256456966+0i,-0.5841407801570995,,,,,842.2976536751632,-34.49037099167722,-356.5712030540732,36.58482655120348,-79.14959410960853,475.29336492090624,18.63896247853646,-356.5712030540732,475.29336492090624,-0.9902041429140028,0.9856789191535096,0.140950365169388,21.07318373136285,-63.291388542098,84.36457227346085,0.5166799371845715,-1.5518011456231269,2.0684810828076983,4.455590201331847,255.28651377615958,-8.110780413027326,-460.9966112423132,0.02451836152387386,15.96333333333333,-1.334228717681728
0.01306652306027515+0i,-0.5985492254658595,,,,,840.1716185922862,-36.89023817134097,-349.8947284738932,33.09761550687715,-86.82125242829348,478.6685253966128,17.244618774536733,-349.8947284738932,478.6685253966128,-0.990116559795074,0.9833279690363218,0.1532708247613519,22.85734895378274,-62.10631430411603,84.96366325789877,0.7969964200585676,-2.165540293561516,2.962536713620084,4.455468744759213,255.2795548271535,-8.11090186959996,-461.0035701913192,0.03486827897977512,15.96666666666667,-1.349802725796481
